,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.015691706910729408,0.30808,0.00019,0.48474,0.01374,0.00044,0.0029,0.99998,0.00687,0.00023,0.00145
1,0.067,0.015692034736275673,0.30808,0.00019,0.48474,0.01374,0.00044,0.0029,0.99998,0.00687,0.00023,0.00145
2,0.134,0.015692034736275673,0.30808,0.00019,0.48474,0.01374,0.00044,0.0029,0.99998,0.00687,0.00023,0.00145
3,0.2,0.015692034736275673,0.30808,0.00019,0.48474,0.01374,0.00044,0.0029,0.99998,0.00687,0.00023,0.00145
4,0.267,0.015692034736275673,0.30808,0.00019,0.48474,0.01374,0.00044,0.0029,0.99998,0.00687,0.00023,0.00145
5,0.333,0.015691706910729408,0.30808,0.00019,0.48474,0.01376,0.00044,0.0029,0.99998,0.00688,0.00023,0.00145
6,0.4,0.015691706910729408,0.30808,0.00019,0.48474,0.01376,0.00046,0.0029,0.99998,0.00688,0.00024,0.00145
7,0.467,0.015691706910729408,0.30808,0.00021,0.48474,0.0138,0.00046,0.00292,0.99998,0.0069,0.00024,0.00146
8,0.533,0.015691706910729408,0.30808,0.00022,0.48474,0.01388,0.00046,0.00292,0.99997,0.00694,0.00024,0.00146
9,0.6,0.015691706910729408,0.30809,0.00034,0.48473,0.0147,0.00046,0.00292,0.99997,0.00735,0.00024,0.00146
10,0.667,0.015691706910729408,0.30816,0.00175,0.48462,0.01952,0.00014,0.00376,0.99995,0.00976,9e-05,0.00188
11,0.733,0.015691706910729408,0.30856,0.00428,0.48382,0.0272,-0.0023,0.00471,0.9999,0.0136,-0.00112,0.00237
12,0.8,0.015691706910729408,0.30985,0.00732,0.48196,0.03664,-0.00708,0.00537,0.99982,0.01833,-0.00349,0.00275
13,0.867,0.015692034736275673,0.31242,0.01173,0.4787,0.04955,-0.01423,0.00575,0.99966,0.02479,-0.00704,0.00305
14,0.933,0.015692034736275673,0.31631,0.01732,0.47399,0.06574,-0.02336,0.00676,0.99938,0.0329,-0.01156,0.00376
15,1.0,0.015692034736275673,0.32164,0.02364,0.46818,0.08334,-0.03202,0.00835,0.99899,0.04172,-0.01582,0.00484
16,1.067,0.015691706910729408,0.32924,0.03045,0.46055,0.10039,-0.03994,0.00961,0.99852,0.05026,-0.0197,0.0058
17,1.133,0.015691706910729408,0.33869,0.03727,0.4519,0.11444,-0.04414,0.01056,0.9981,0.05729,-0.02173,0.00653
